income,freq,cumsum,ps
4999.0,4204,4204,0.034330137679857584
9999.0,4729,8933,0.07294745953714743
14999.0,6982,15915,0.1299629260644466
19999.0,7157,23072,0.18840745398422315
24999.0,7131,30203,0.2466396642114031
29999.0,6740,36943,0.30167894298453346
34999.0,6354,43297,0.35356612062911363
39999.0,5832,49129,0.40119061229156117
44999.0,5547,54676,0.4464877754005455
49999.0,5254,59930,0.4893922814352676
54999.0,5102,65032,0.5310555455748093
59999.0,4256,69288,0.5658103186398602
64999.0,4356,73644,0.6013816982148982
69999.0,3949,77593,0.6336294892942886
74999.0,3756,81349,0.6643012298094041
79999.0,3414,84763,0.6921801760603635
84999.0,3326,88089,0.7193405085825344
89999.0,2643,90732,0.7409234186414934
94999.0,2678,93410,0.7627921409789479
99999.0,2223,95633,0.780945303695961
104999.0,2606,98239,0.8022260693462249
109999.0,1838,100077,0.8172352969997877
114999.0,1986,102063,0.8334531022881314
119999.0,1464,103527,0.8454082215943426
124999.0,1596,105123,0.8584412614937367
129999.0,1327,106450,0.8692776298812654
134999.0,1253,107703,0.8795097094514037
139999.0,1140,108843,0.8888190236652567
144999.0,1119,109962,0.8979568505120122
149999.0,920,110882,0.9054696304038936
154999.0,1143,112025,0.9148034428130462
159999.0,805,112830,0.9213771252184423
164999.0,731,113561,0.9273465188064479
169999.0,575,114136,0.9320420062388738
174999.0,616,114752,0.9370723023403943
179999.0,570,115322,0.9417269594473208
184999.0,502,115824,0.9458263241274559
189999.0,364,116188,0.948798771823809
194999.0,432,116620,0.9523265119469533
199999.0,378,116998,0.9554132845547044
249999.0,2549,119547,0.9762285844942756
inf,2911,122458,1.0
